A Little Chat|Conversinha
Wild Onslaught|Investida Selvagem
Wild Ox|
Wild Pair|Dupla Selvagem
Wild Research|Pesquisa Selvagem
Wild Ricochet|Ricochete Selvagem
Wild Shape|Forma Selvagem
Wild Slash|Talho Selvagem
Wild Swing|Varada Selvagem
Wild Wanderer|Errante Selvagem
Wild Wurm|Vorme Selvagem
Wild-Field Scarecrow|Espantalho do Campo Selvagem
Wild-Magic Sorcerer|Feiticeiro da Magia Selvagem
Wildblood Pack|Alcateia do Sangue Selvagem
Wildborn Preserver|Preservador Silvonato
Wildcall|Chamado Selvagem
Wilderness Elemental|Elemental Selvático
Wilderness Hypnotist|Hipnotizador da Imensidão
Wilderness Reclamation|Reconquista da Natureza
Wildest Dreams|Sonhos Desvairados
Wildfield Borderpost|Marco do Campo Selvagem
Wildfire Awakener|Despertadora de Incêndios
Wildfire Cerberus|Cérbero Incendiário
Wildfire Devils|Diabos Incendiários
Wildfire Elemental|Elemental Incendiário
Wildfire Emissary|Emissário do Domínio Ígneo
Wildfire Eternal|Eterno Incendiário
Wildfire|Fogo Grego
Wildgrowth Walker|Andarilho Vicejante
Wildheart Invoker|Invocador do Coração Selvagem
Wildsize|Crescimento Asqueroso
Wildslayer Elves|Elfos Matança-Selvagem
Wildwood Escort|Escolta do Bosque Selvagem
Wildwood Geist|Geist da Mata Selvagem
Wildwood Patrol|Patrulha da Mata Selvagem
Wildwood Rebirth|Renascimento Arborescente
Wildwood Scourge|Flagelo da Mata Selvagem
Wildwood Tracker|Rastreador do Bosque Selvagem
Wilhelt, the Rotcleaver|Wilhelt, Cutilador da Podridão
Will Kenrith|Will Kenrith
Will of the All-Hunter|Vontade do Onicaçador
Will of the Naga|Vontade do Naga
Will-Forged Golem|Golem Volitivo
Will-o'-the-Wisp|Fogo Fátuo
Willbender|Subjugador da Vontade
Willbreaker|Quebrador de Vontades
Willow Elf|
Willow Faerie|Sílfide da Sálix
Willow Geist|Geist do Salgueiro
Willow Priestess|Sacerdotisa de Sálix
Willow-Wind|Vento do Salgueiro
Willowdusk, Essence Seer|Salgueirumbra, Vidente da Essência
Wilson, Refined Grizzly|Wilson, Urso Pardo Refinado
Wilt-Leaf Cavaliers|Cavaleiros de Folha Seca
Wilt-Leaf Liege|Soberano de Folha Seca
Wilt|Esmorecer
Wily Bandar|Bandar Astuto
Wily Goblin|Goblin Astuto
Wind Dancer|Dançarina do Vento
Wind Drake|Dragonete do Vento
Wind Sail|
Wind Shear|Vento Cortante
Wind Spirit|Espírito do Vento
Wind Strider|Andarilha do Vento
Wind Zendikon|Zendikon do Vento
Wind-Kin Raiders|Salteadores Eolinos
Wind-Scarred Crag|Penhasco Marcado pelo Vento
Windborn Muse|Musa Nascida do Vento
Windborne Charge|Ataque Eólico
Windbrisk Heights|Cumes dos Ventos Velozes
Windbrisk Raptor|Raptor dos Ventos Velozes
Windcaller Aven|Aviana Invocadora de Vento
Windfall|Sorte Inesperada
Windgrace Acolyte|Acólito de Windgrace
Windgrace's Judgment|Julgamento de Windgrace
Winding Canyons|Desfiladeiros Sinuosos
Winding Constrictor|Constritora Sinuosa
Winding Way|Caminho Tortuoso
Winding Wurm|Vorme Serpenteante
Windreader Sphinx|Esfinge Leitora de Ventos
Windreaper Falcon|Falcão Ceifador do Vento
Windreaver|Rasga-Vento
Windrider Eel|Enguia Galopa-Vento
Windrider Patrol|Patrulheiro Ginete do Vento
Windrider Wizard|Mago Ginete do Vento
Winds of Abandon|Ventos do Abandono
Winds of Change|Tempos de Mudança
Winds of Qal Sisma|Ventos de Qal Sisma
Winds of Rath|Ventos de Rath
Winds of Rebuke|Ventos da Repreensão
Windscouter|Batedor de Ventos
Windshaper Planetar|Planetar Moldaventos
Windstorm Drake|Dragonete do Vendaval
Windstorm|Vendaval
Windswept Heath|Charneca Ventosa
Windswift Slice|Corte Ventoveloz
Windwright Mage|Mago Artífice do Vento
Wine of Blood and Iron|Vinho de Sangue e Ferro
Wing Commando|Comando Alado
Wing Puncture|Punção de Asas
Wing Shards|Retalhos de Asas
Wing Snare|Armadilha Aérea
Wing Splicer|Implantador de Asas
Wing Storm|Tempestade Alada
Wingbeat Warrior|Guerreiro Bate-Asas
Wingcrafter|Artesão de Asas
Winged Boots|Botas Aladas
Winged Coatl|Coatl Alado
Winged Hive Tyrant|Tirano da Colmeia Alado
Winged Portent|Presságio Alado
Winged Shepherd|Pastor Alado
Winged Sliver|Fractius Alado
Winged Temple of Orazca|Templo Alado de Orazca
Winged Words|Palavras Aladas
Wingfold Pteron|Pteron-de-asa-dobrável
Wingmantle Chaplain|Capelão do Manto Alado
Wingmate Roc|Roca do Voo Duplo
Wingrattle Scarecrow|Espantalho da Sucata Alada
Wings of Aesthir|Asas de Aesthir
Wings of Hope|Asas de Esperança
Wings of Hubris|Asas da Arrogância
Wings of Velis Vel|Asas de Velis Vel
Wings of the Cosmos|Asas do Cosmos
Wingshield Agent|Agente do Aliscudo
Wingspan Mentor|Mentor de Envergadura
Wingsteed Rider|Ginete do Corcel Alado
Winnower Patrol|Patrulha de Peneiradores
Winnow|Eliminar
Winota, Joiner of Forces|Winota, Agregadora de Forças
Winter Blast|Maldição de Inverno
Winter Eladrin|Eladrin Invernal
Winter Orb|Orbe Hibernal
Winter Sky|Céu de Inverno
Winter's Chill|Calafrio de Inverno
Winter's Grasp|Garras do Inverno
Winter's Night|Noite de Inverno
Winter's Rest|Descanso Invernal
Winterflame|Chama Hibernal
Wintermoon Mesa|Meseta da Lua Invernal
Wintermoor Commander|Comandante de Hiberlama
Winterthorn Blessing|Bênção do Espinho Invernal
Wipe Away|Limpar
Wipe Clean|Limpeza Inexorável
Wirecat|Gato de Arame
Wirefly Hive|Colméia de Muscarames
Wiretapping|Grampo
Wirewood Channeler|Canalizador de Wirewood
Wirewood Elf|Elfo de Wirewood
Wirewood Guardian|Guardião de Wirewood
Wirewood Herald|Arauto de Wirewood
Wirewood Hivemaster|Mestre da Colméia de Wirewood
Wirewood Lodge|Cabana de Wirewood
Wirewood Pride|Orgulho de Wirewood
Wirewood Savage|Selvagem de Wirewood
Wirewood Symbiote|Simbiota de Wirewood
Wishclaw Talisman|Talismã de Garra dos Desejos
Wishcoin Crab|Caranguejo das Moedas da Fortuna
Wishful Merfolk|Tritã Desejosa
Wishmonger|Vendilhão de Desejos
Wish|Desejo
Wispmare|Égua Celestial
Wispweaver Angel|Anjo Tecelão de Nuvens
Wistful Selkie|Selkie Melancólica
Wistful Thinking|Pensamento Sombrio
Wit's End|Limite da Razão
Witch Engine|Bruxa Mecânica
Witch Hunter|Caçador de Bruxa
Witch's Cauldron|Caldeirão da Bruxa
Witch's Clinic|Clínica da Bruxa
Witch's Cottage|Casebre da Bruxa
Witch's Familiar|Familiar da Bruxa
Witch's Mist|Névoa de Bruxa
Witch's Oven|Forno da Bruxa
Witch's Vengeance|Vingança da Bruxa
Witch's Web|Teia da Bruxa
Witch-Maw Nephilim|Nefilim Bucho de Bruxo
Witch-king of Angmar|Rei-bruxo de Angmar
Witch-king, Bringer of Ruin|Witch-king, Bringer of Ruin
Witchbane Orb|Orbe Espanta-Bruxa
Witches' Eye|Olho de Bruxa
Witching Well|Poço das Bruxarias
Witchstalker|Farejador de Bruxa
Withdraw|Retirar
Withengar Unbound|Withengar Livre
Witherbloom Apprentice|Aprendiz de Murchaflor
Witherbloom Campus|Campus de Murchaflor
Witherbloom Command|Comando de Murchaflor
Witherbloom Pledgemage|Mago Iniciado de Murchaflor
Withercrown|Coroa Definhadora
Withered Wretch|Miserável Murcho
Withering Boon|Dádiva da Atrofia
Withering Gaze|Olhar Definhador
Withering Hex|Encanto Definhador
Withering Wisps|Ardentias Mortíferas
Witherscale Wurm|Vorme Escama-Murcha
Without Weakness|Sem Fraqueza
Withstand Death|Resistir à Morte
Withstand|Resistir
Witness Protection|Proteção de Testemunhas
Witness of Tomorrows|Testemunha de Amanhãs
Witness of the Ages|Testemunha das Eras
Witness the End|Testemunhar o Fim
Witness the Future|Testemunhar o Futuro
Witty Roastmaster|Orador Incendiário
Wizard Class|Classe: Mago
Wizard Mentor|Mago Mentor
Wizard Replica|Réplica de Mago
Wizard's Lightning|Relâmpago do Mago
Wizard's Retort|Contradita do Mago
Wizard's Rockets|Foguetes do Mago
Wizard's Spellbook|Livro de Magias do Mago
Wizards of Thay|Magos de Thay
Wizards' School|Escola de Magos
Wizened Cenn|Cenn Fenecido
Wizened Snitches|Ladrões Fenecidos
Woe Strider|Andarilho das Aflições
Woebearer|Portadora de Lamentações
Woebringer Demon|Demônio Porta-Desgraça
Woeleecher|Suga-Desgraça
Wojek Apothecary|Boticário Wojek
Wojek Bodyguard|Guarda-costas Wojek
Wojek Embermage|Mago Ígneo Wojek
Wojek Halberdiers|Alabardeiros Wojek
Wojek Siren|Sirene Wojek
Wolf Strike|Golpe do Lobo
Wolf of Devil's Breach|Lobo da Garganta do Demônio
Wolf's Quarry|Presas do Lobo
Wolf-Skull Shaman|Xamã Caveira-de-Lobo
Wolfbitten Captive|Prisioneiro Mordido
Wolfbriar Elemental|Elemental do Covil de Espinhos
Wolfhunter's Quiver|Aljava do Caçador de Lobos
Wolfir Avenger|Vingador Lupíneo
Wolfir Silverheart|Lupíneo Coração de Prata
Wolfkin Bond|Elo Lupino
Wolfrider's Saddle|Sela do Ginete de Lobos
Wolfwillow Haven|Refúgio do Salgueiro dos Lobos
Wolverine Pack|Matilha de Carcajus
Wolverine Riders|Ginetes de Carcajus
Wonder|Maravilha
Wood Elves|Elfos da Floresta
Wood Sage|Sábio dos Bosques
Woodborn Behemoth|Behemot Lígneo
Woodcaller Automaton|Autômato Convocador de Bosques
Woodcloaker|Xilo-Revestidor
Woodcutter's Grit|Determinação do Lenhador
Wooded Bastion|Bastião Florestal
Wooded Foothills|Contraforte Arborizado
Wooded Ridgeline|Cume Arborizado
Wooden Sphere|Esfera de Madeira
Wooden Stake|Estaca de Madeira
Woodfall Primus|Primaz Desmatador
Woodland Bellower|Uivador da Floresta
Woodland Cemetery|Cemitério da Floresta
Woodland Champion|Campeã da Mata
Woodland Changeling|Morfolóide da Floresta
Woodland Chasm|Abismo da Floresta
Woodland Druid|Druida da Mata
Woodland Guidance|Guia da Floresta
Woodland Mystic|Mística da Mata
Woodland Patrol|Patrulha da Mata
Woodland Sleuth|Detetive da Floresta
Woodland Stream|Riacho da Floresta
Woodland Wanderer|Andarilho da Floresta
Woodlot Crawler|
Woodlurker Mimic|Mímico Espreitador do Bosque
Woodripper|Dilacerador de Madeira
Woodweaver's Puzzleknot|Quebra-cabeça do Lenhotecedor
Woodwraith Corrupter|Corruptor Espectro da Floresta
Woodwraith Strangler|Estrangulador Espectro da Floresta
Woolly Loxodon|Loxodonte Lanoso
Woolly Mammoths|Mamutes Lanosos
Woolly Razorback|Porco-Selvagem Lanoso
Woolly Spider|Aranha Lanosa
Woolly Thoctar|Tóctar Lanoso
Word of Binding|Palavras de Poder
Word of Blasting|Palavra de Detonação
Word of Seizing|Palavra de Controle
Word of Undoing|Palavra do Desfazer
Words of War|Palavras de Guerra
Words of Waste|Palavras de Desperdício
Words of Wilding|Palavras de Selvageria
Words of Wind|Palavras de Vento
Words of Wisdom|Palavras de Sabedoria
Words of Worship|Palavras de Adoração
Workhorse|Cavalo de Carga
Workshop Assistant|Assistente de Oficina
Workshop Elders|Anciãos da Oficina
Workshop Warchief|Chefe Guerreiro da Oficina
World Breaker|Rompe-mundos
World Queller|Dominador do Mundo
World Shaper|Molda-mundo
World at War|Mundo em Guerra
World-Weary|Cansado do Mundo
Worldfire|Incêndio Mundial
Worldgorger Dragon|Dragão Engole-Mundos
Worldheart Phoenix|Fênix Coração-do-Mundo
Worldly Counsel|Conselho Mundano
Worldly Tutor|Tutor Proficiente
Worldpurge|Expurga-Mundo
Worldslayer|Finda-Mundo
Worldsoul Colossus|Colosso da Anima Mundi
Worldspine Wurm|Vorme Espinha do Mundo
Worm Harvest|Colheita de Verme
Wormfang Behemoth|Behemoth Dentígero
Wormfang Crab|Caranguejo Dentígero
Wormfang Drake|Dragonete Dentígero
Wormfang Manta|Raia Dentígera
Wormfang Newt|Salamandra Dentígera
Wormfang Turtle|Tartaruga Dentígera
Wormhole Serpent|Serpente do Buraco de Minhoca
Wormwood Dryad|Dríade da Selva dos Vermes
Worn Powerstone|Pedra de Energia Gasta
Worry Beads|Rosário de Preocupaes
Worship|Adoração
Worst Fears|Piores Medos
Wort, Boggart Auntie|Mosto, Titia Papão
Wort, the Raidmother|Mosto, a Mãe-de-Ataque
Worthy Cause|Causa Justa
Worthy Knight|Cavaleira Digna
Wose Pathfinder|Trilheira Wose
Wound Reflection|Reflexo de Ferida
Wrack with Madness|Naufragar na Loucura
Wrangle|Domar
Wrap in Flames|Envolver em Chamas
Wrap in Vigor|Envolto em Vigor
Wrath of God|Cólera de Deus
Wrath of Marit Lage|Ira de Marit Lage
Wrathful Red Dragon|Dragão Vermelho Irado
Wreak Havoc|Devastação Fulminante
Wreath of Geists|Guirlanda de Geists
Wrecking Ball|Baile Devastador
Wrecking Beast|Fera Demolidora
Wrecking Crew|Equipe de Demolição
Wrecking Ogre|Ogro Demolidor
Wren's Run Hydra|Hidra da Toca da Corruíra
Wren's Run Packmaster|Caçador da Toca da Corruíra
Wren's Run Vanquisher|Conquistador da Toca da Corruíra
Wrench Mind|Retorcer a Mente
Wrenn and Realmbreaker|Wrenn e Quebra-reinos
Wrenn and Seven|Wrenn e Sete
Wrenn and Six|Wrenn e Seis
Wrenn's Resolve|Determinação de Wrenn
Wretched Anurid|Anurídio Perverso
Wretched Banquet|Banquete Miserável
Wretched Camel|Camelo Nefasto
Wretched Gryff|Grifino Miserável
Wretched Throng|Multidão Abominável
Wrexial, the Risen Deep|Wrexial, a Profundeza Emersa
Wring Flesh|Torcer Carne
Writ of Passage|Mandado de Passagem
Write into Being|Escrever Existência
Writhing Necromass|Necromassa Contorcida
Wrong Turn|Caminho Errado
Wulfgar of Icewind Dale|Wulfgar do Vale do Vento Gélido
Wurm's Tooth|Dente de Vorme
Wurmcalling|Vormevocação
Wurmcoil Engine|Máquina a Vorme Espiralado
Wurmquake|Vormemoto
Wurmskin Forger|Forjadora de Pele de Vorme
Wurmweaver Coil|Espiral Vormificante
Wydwen, the Biting Gale|Wydwen, a Ventania Mordaz
Wyleth, Soul of Steel|Wyleth, Alma de Aço
Wyll's Reversal|Inversão de Wyll
Wyll, Blade of Frontiers|Wyll, Lâmina das Fronteiras
Wyluli Wolf|Lobo de Wyluli
Wyrm's Crossing Patrol|Patrulha da Travessia do Dragão
Xanathar, Guild Kingpin|Xanathar, Chefão da Guilda
Xander's Lounge|Saguão de Xander
Xantcha, Sleeper Agent|Xantcha, Agente Adormecida
Xanthic Statue|Estátua Xântica
Xantid Swarm|Enxame de Xantídeos
Xathrid Demon|Demônio de Xathrid
Xathrid Gorgon|Górgona de Xathrid
Xathrid Necromancer|Necromante de Xathrid
Xathrid Slyblade|Faquista Ardilosa de Xathrid
Xenagos, God of Revels|Xenagos, Deus da Festança
Xenagos, the Reveler|Xenagos, o Festeiro
Xenic Poltergeist|Poltergeist Xênico
Xenograft|Xenoenxerto
Xerex Strobe-Knight|Estrobocavaleira de Xerex
Xira Arien|Xira Arien
Xira, the Golden Sting|Xira, o Ferrão Dourado
Xorn|Xorn
Xyris, the Writhing Storm|Xyris, a Tempestade Serpenteante
Yahenni's Expertise|Especialidade de Yahenni
Yahenni, Undying Partisan|Yahenni, Guerrilheiro Imortal
Yamabushi's Flame|Chama de Yamabushi
Yamabushi's Storm|Tempestade de Yamabushi
Yanling's Harbinger|Anunciadora de Yanling
Yannik, Scavenging Sentinel|Yannik, Sentinela Necrófaga
Yare|Velocitas
Yargle and Multani|Yargle e Multani
Yargle, Glutton of Urborg|Yargle, Glutão de Urborg
Yarok's Fenlurker|Espreitador Pantaneiro de Yarok
Yarok's Wavecrasher|Quebraondas de Yarok
Yarok, the Desecrated|Yarok, o Profanado
Yasharn, Implacable Earth|Yasharn, Terra Implacável
Yasova Dragonclaw|Yasova Garra de Dragão
Yavimaya Ancients|Anciãos de Yavimaya
Yavimaya Ants|Formigas de Yavimaya
Yavimaya Barbarian|Bárbaro de Yavimaya
Yavimaya Coast|Costa de Yavimaya
Yavimaya Dryad|Dríade de Yavimaya
Yavimaya Elder|Ancião de Yavimaya
Yavimaya Enchantress|Encantadora de Yavimaya
Yavimaya Gnats|Muriçocas de Yavimaya
Yavimaya Granger|Fazendeiro de Yavimaya
Yavimaya Hollow|Vale de Yavimaya
Yavimaya Iconoclast|Iconoclasta de Yavimaya
Yavimaya Kavu|Kavu de Yavimaya
Yavimaya Sapherd|Saprastor de Yavimaya
Yavimaya Scion|Rebento de Yavimaya
Yavimaya Sojourner|Visitante de Yavimaya
Yavimaya Steelcrusher|Esmagador de Aço de Yavimaya
Yavimaya Wurm|Vorme de Yavimaya
Yavimaya's Embrace|Abraço de Yavimaya
Yavimaya, Cradle of Growth|Yavimaya, Berço de Crescimento
Yawgmoth Demon|Demônio de Yawgmoth
Yawgmoth's Agenda|Agenda de Yawgmoth
Yawgmoth's Bargain|Barganha de Yawgmoth
Yawgmoth's Edict|édito de Yawgmoth
Yawgmoth's Vile Offering|Oferenda Vil de Yawgmoth
Yawgmoth's Will|Determinação de Yawgmoth
Yawgmoth, Thran Physician|Yawgmoth, Médico de Thran
Yawning Fissure|Fissura Bocejadora
Yedora, Grave Gardener|Yedora, Jardineira dos Túmulos
Yennett, Cryptic Sovereign|Yennett, Soberana Enigmática
Yeva's Forcemage|Mago da Força de Yeva
Yeva, Nature's Herald|Yeva, Arauto da Natureza
Yew Spirit|Espírito do Teixo
Yidaro, Wandering Monster|Yidaro, Monstro Errante
Yidris, Maelstrom Wielder|Yidris, Dominador do Maelstrom
Yisan, the Wanderer Bard|Yisan, o Bardo Andarilho
Yixlid Jailer|Carcereiro Yixlid
Yoke of the Damned|Brida do Maldito
Yoked Ox|Boi Jungido
Yoked Plowbeast|Besta Lavradora Bridada
Yomiji, Who Bars the Way|Yomiji, O que Barra o Caminho
Yore-Tiller Nephilim|Nefilim Exuma-Passado
Yorion, Sky Nomad|Yorion, Nômade Celeste
Yorvo, Lord of Garenbrig|Yorvo, Senhor de Pontegaren
Yosei, the Morning Star|Yosei, a Estrela da Manhã
Yoshimaru, Ever Faithful|Yoshimaru, Sempre Fiel
Yotia Declares War|Yotia Declara Guerra
Yotian Dissident|Dissidente Yotiano
Yotian Frontliner|Vanguardeiro Yotiano
Yotian Medic|Médica Yotiana
Yotian Soldier|Soldado Yotiano
Yotian Tactician|Estrategista Yotiana
You Are Already Dead|Você Já Morreu
You Cannot Pass!|Você Não Pode Passar!
You Come to a River|Vocês Chegam a um Rio
You Come to the Gnoll Camp|Vocês Acham um Acampamento de Gnolls
You Find Some Prisoners|Vocês Encontram Alguns Prisioneiros
You Find a Cursed Idol|Vocês Encontram um Ídolo Amaldiçoado
You Find the Villains' Lair|Vocês Encontram o Covil do Vilão
You Happen On a Glade|Vocês Descobrem uma Clareira
You Hear Something on Watch|Vocês Ouvem Algo Enquanto Vigiam
You Look Upon the Tarrasque|Você Vê o Tarrasque
You Meet in a Tavern|Vocês se Encontram numa Taverna
You See a Guard Approach|Vocês Veem um Guarda se Aproximando
You See a Pair of Goblins|Vocês Veem Dois Goblins
You're Ambushed on the Road|Vocês São Emboscados na Estrada
You're Confronted by Robbers|Assaltantes Abordam Você
You've Been Caught Stealing|Flagraram Você Roubando
Young Necromancer|Jovem Necromante
Young Pyromancer|Piromante Jovem
Young Wolf|Lobo Jovem
Your Temple Is Under Attack|Seu Templo Está Sendo Atacado
Youthful Knight|Jovem Cavaleiro
Youthful Scholar|Escolástico Jovem
Youthful Valkyrie|Valquíria Jovem
Yuan-Ti Fang-Blade|Presalâmina Yuan-Ti
Yuan-Ti Malison|Yuan-Ti Mestiço
Yuki-Onna|Yuki-Onna
Yukora, the Prisoner|Yukora, O Prisioneiro
Yuriko, the Tiger's Shadow|Yuriko, a Sombra do Tigre
Yurlok of Scorch Thrash|Yurlok do Golpe Calcinante
Yusri, Fortune's Flame|Yusri, Chama da Fortuna
Zabaz, the Glimmerwasp|Zabaz, a Vespa Tremeluzente
Zacama, Primal Calamity|Zacama, Calamidade Primordial
Zada's Commando|Comando de Zada
Zada, Hedron Grinder|Zada, Moedora de Edros
Zaffai, Thunder Conductor|Zaffai, Maestro do Trovão
Zagoth Crystal|Cristal de Zagoth
Zagoth Mamba|Mamba de Zagoth
Zagoth Triome|Trioma de Zagoth
Zagras, Thief of Heartbeats|Zagras, Ladrão de Pulsações
Zahid, Djinn of the Lamp|Zahid, Gênio da Lâmpada
Zalto, Fire Giant Duke|Zalto, Duque Gigante do Fogo
Zameck Guildmage|Mago de Guilda de Zameck
Zanam Djinn|Gênio Zanam
Zanikev Locust|Gafanhoto de Zanikev
Zap|Zap
Zar Ojanen, Scion of Efrava|Zar Ojanen, Descendente de Efrava
Zara, Renegade Recruiter|Zara, Recrutadora Renegada
Zareth San, the Trickster|Zareth San, o Trapaceiro
Zarichi Tiger|Tigre Zarichiano
Zariel, Archduke of Avernus|Zariel, Arquiduquesa de Avernus
Zaxara, the Exemplary|Zaxara, a Exemplar
Zealot il-Vec|Zelote il-Vec
